"","Zone_1","Zone_2","Zone_3","Zone_4","Zone_5","Zone_6","Zone_7","Zone_8","Zone_9","Zone_10"
"hipk2",7.68446350608495e-08,0.0881045217165646,0.452933156413892,0.591672622807356,0.525517090165376,0.405665738798119,0.29720364733347,0.214344854736153,0.154674867185777,0.112512224157861
"hipk3",9.88093335923857e-06,0.175591092055251,0.918030451386622,1.25426773749398,1.1119630207563,0.847983553194557,0.613195045554933,0.437057974819707,0.312196545062897,0.225129785024391
"hira",5.18076746306431e-08,0.0772873761402037,0.458149199522819,0.580286981966979,0.489343067383677,0.36122773419975,0.255436660886178,0.179146004762069,0.126419632263212,0.0903049918319155
"hist1h1c",1.01638783658306e-06,0.1899822019504,1.08990597946527,1.47271104026543,1.31096582031291,1.00719639621398,0.733746125698076,0.52645923499395,0.37822570872345,0.274100145890293
"hist1h1e",1.15677725029092e-09,0.0258451767138142,0.225268983602347,0.336704935780848,0.31062587793232,0.242317494170125,0.177798383153572,0.128014652332049,0.0921216328225428,0.066805599026496
"hist1h2bc",3.05436774823505e-06,0.165993444361521,0.975768805597018,1.40648734569969,1.30222857847356,1.02467570996443,0.758110689818221,0.54974060512505,0.397977065368968,0.290063645606597
"hist1h4h",1.03498129616694e-09,0.0321062216961875,0.257865624170886,0.369632602145125,0.335149317368236,0.25959210832967,0.189944610906021,0.136647235107654,0.0983426701170843,0.0713541608408184
"hist1h4i",1.54143711370616e-08,0.0316906559767268,0.251058781031003,0.400494708995959,0.390580333329562,0.317000788590102,0.239349117828908,0.176055739387018,0.128800366071721,0.0946345031079387
"hist2h2aa2",4.36040574374384e-10,0.0180159855998017,0.199743522684097,0.323372490361385,0.309521545538622,0.246558776218081,0.183366530563608,0.133276757020692,0.0965825834919333,0.0704209004956209
"hist2h3c1",9.07726508227411e-09,0.0399387594273029,0.271742728597144,0.404766458785045,0.390030886488559,0.318840170357024,0.243753563085355,0.181651379133852,0.13452320874488,0.0999257436735539
"hist2h3c2",1.09749234862056e-07,0.0787972539920389,0.419001486571503,0.540545344629659,0.469555558562801,0.355927843137361,0.257235028764571,0.183633176239535,0.131479636397709,0.0950543700842486
"hist3h2a",7.41582945498153e-07,0.0722884355282666,0.281984725857333,0.373284301957671,0.338894391523122,0.26483539392752,0.195268786337941,0.14129099433183,0.102123486933858,0.0743388368419079
"hivep1",3.95564546596967e-08,0.0650247711073538,0.504588419488813,0.721665339361006,0.648105813553549,0.496498659624581,0.359609570600901,0.256423987643518,0.183151762502367,0.132032483732417
"hivep2",1.16188901166613e-08,0.0346372074595195,0.251319094478112,0.3500173875817,0.311644602189988,0.238186493349561,0.172517280107305,0.123126452574993,0.0880507839337041,0.0635571778953532
"hjurp",1.46117044037464e-06,0.135816728404032,0.723427874497013,0.98341125119637,0.883785229994962,0.68495188883491,0.502672175371025,0.362862603911214,0.262005388834239,0.190671824768925
"hlcs",2.51594541556626e-07,0.106648634884997,0.434140803976704,0.520082017985365,0.444837810897108,0.33641011016149,0.243240937183414,0.173793291601108,0.12452672135043,0.0900763392653314
